,country,country_source,period,sex,age_group,Dx_covid_season,population,mx_covid_season
201,England & Wales,England & Wales (ONS),spring 2021,0,65-74,1045,5986297.75,0.174565322949397
202,England & Wales,England & Wales (ONS),spring 2021,0,75-84,1529,3752085.25,0.407506732422991
203,England & Wales,England & Wales (ONS),spring 2021,0,85+,2042,1510385.25,1.35197294862354
204,England & Wales,England & Wales (ONS),spring 2021,1,0-24,3,8602759.5,0.000348725313081227
205,England & Wales,England & Wales (ONS),spring 2021,1,25-44,41,7793926.0,0.00526050670740266
206,England & Wales,England & Wales (ONS),spring 2021,1,45-64,369,7777715.25,0.0474432385526071
207,England & Wales,England & Wales (ONS),spring 2021,1,65-74,391,3107870.25,0.125809627992031
208,England & Wales,England & Wales (ONS),spring 2021,1,75-84,642,2041832.75,0.314423402210588
209,England & Wales,England & Wales (ONS),spring 2021,1,85+,1132,942120.75,1.20154449416383
210,England & Wales,England & Wales (ONS),spring 2021,2,0-24,4,9094273.5,0.000439837222841385
211,England & Wales,England & Wales (ONS),spring 2021,2,25-44,58,7847955.75,0.00739045961109044
212,England & Wales,England & Wales (ONS),spring 2021,2,45-64,640,7549290.5,0.084776178635595
213,England & Wales,England & Wales (ONS),spring 2021,2,65-74,654,2878427.5,0.227207390146182
214,England & Wales,England & Wales (ONS),spring 2021,2,75-84,887,1710252.5,0.518636867947862
215,England & Wales,England & Wales (ONS),spring 2021,2,85+,910,568264.5,1.60136696907866
216,England & Wales,England & Wales (ONS),summer 2020,0,0-24,4,17711211.0,0.000225845652225588
217,England & Wales,England & Wales (ONS),summer 2020,0,25-44,53,15574246.0,0.00340305399054311
218,England & Wales,England & Wales (ONS),summer 2020,0,45-64,419,15301658.0,0.0273826535660384
219,England & Wales,England & Wales (ONS),summer 2020,0,65-74,756,5960269.0,0.126839912762327
220,England & Wales,England & Wales (ONS),summer 2020,0,75-84,1760,3680770.0,0.478160819611114
221,England & Wales,England & Wales (ONS),summer 2020,0,85+,2411,1491570.0,1.61641760024672
222,England & Wales,England & Wales (ONS),summer 2020,1,0-24,1,8610651.0,0.000116135237626052
223,England & Wales,England & Wales (ONS),summer 2020,1,25-44,21,7767706.0,0.00270350087915274
224,England & Wales,England & Wales (ONS),summer 2020,1,45-64,149,7762647.0,0.0191944835311975
225,England & Wales,England & Wales (ONS),summer 2020,1,65-74,321,3093327.0,0.103771764187879
226,England & Wales,England & Wales (ONS),summer 2020,1,75-84,748,2004908.0,0.37308445075784
227,England & Wales,England & Wales (ONS),summer 2020,1,85+,1382,934143.0,1.47943087942638
228,England & Wales,England & Wales (ONS),summer 2020,2,0-24,3,9100560.0,0.000329650043513806
229,England & Wales,England & Wales (ONS),summer 2020,2,25-44,32,7806540.0,0.00409912714211418
230,England & Wales,England & Wales (ONS),summer 2020,2,45-64,270,7539011.0,0.0358137161492403
231,England & Wales,England & Wales (ONS),summer 2020,2,65-74,435,2866942.0,0.151729612946477
232,England & Wales,England & Wales (ONS),summer 2020,2,75-84,1012,1675862.0,0.60386833760775
233,England & Wales,England & Wales (ONS),summer 2020,2,85+,1029,557427.0,1.84598162629367
234,England & Wales,England & Wales (ONS),summer 2021,0,0-24,27,17692307.0,0.00152608701623819
235,England & Wales,England & Wales (ONS),summer 2021,0,25-44,227,15664427.0,0.0144914333604415
236,England & Wales,England & Wales (ONS),summer 2021,0,45-64,905,15335455.0,0.0590135734479349
237,England & Wales,England & Wales (ONS),summer 2021,0,65-74,788,5994974.0,0.131443439120837
238,England & Wales,England & Wales (ONS),summer 2021,0,75-84,1227,3775857.0,0.324959340356375
239,England & Wales,England & Wales (ONS),summer 2021,0,85+,1235,1516657.0,0.814290904271697
240,England & Wales,England & Wales (ONS),summer 2021,1,0-24,10,8600129.0,0.00116277325607558
241,England & Wales,England & Wales (ONS),summer 2021,1,25-44,78,7802666.0,0.00999658321912023
242,England & Wales,England & Wales (ONS),summer 2021,1,45-64,328,7782738.0,0.0421445511849429
243,England & Wales,England & Wales (ONS),summer 2021,1,65-74,309,3112718.0,0.0992701555360942
244,England & Wales,England & Wales (ONS),summer 2021,1,75-84,482,2054141.0,0.234647962335594
245,England & Wales,England & Wales (ONS),summer 2021,1,85+,601,944780.0,0.636126929020513
246,England & Wales,England & Wales (ONS),summer 2021,2,0-24,17,9092178.0,0.00186973902182733
247,England & Wales,England & Wales (ONS),summer 2021,2,25-44,149,7861761.0,0.0189524967752136
248,England & Wales,England & Wales (ONS),summer 2021,2,45-64,577,7552717.0,0.0763963484928669
249,England & Wales,England & Wales (ONS),summer 2021,2,65-74,479,2882256.0,0.166189262855208
250,England & Wales,England & Wales (ONS),summer 2021,2,75-84,745,1721716.0,0.43270783334766
251,England & Wales,England & Wales (ONS),summer 2021,2,85+,634,571877.0,1.10863000260546
252,England & Wales,England & Wales (ONS),winter 2020-2021,0,0-24,45,17701759.0,0.00254212024917976
253,England & Wales,England & Wales (ONS),winter 2020-2021,0,25-44,770,15619336.5,0.0492978687026814
254,England & Wales,England & Wales (ONS),winter 2020-2021,0,45-64,7072,15318556.5,0.461662298272034
255,England & Wales,England & Wales (ONS),winter 2020-2021,0,65-74,10484,5977621.5,1.75387484804784
256,England & Wales,England & Wales (ONS),winter 2020-2021,0,75-84,20044,3728313.5,5.37615734299168
257,England & Wales,England & Wales (ONS),winter 2020-2021,0,85+,27769,1504113.5,18.4620376055397
258,England & Wales,England & Wales (ONS),winter 2020-2021,1,0-24,20,8605390.0,0.00232412476366556
259,England & Wales,England & Wales (ONS),winter 2020-2021,1,25-44,306,7785186.0,0.039305419292487
260,England & Wales,England & Wales (ONS),winter 2020-2021,1,45-64,2631,7772692.5,0.338492742379812
261,England & Wales,England & Wales (ONS),winter 2020-2021,1,65-74,4052,3103022.5,1.30582359618727
262,England & Wales,England & Wales (ONS),winter 2020-2021,1,75-84,8578,2029524.5,4.22660578869583
263,England & Wales,England & Wales (ONS),winter 2020-2021,1,85+,15354,939461.5,16.3434052380007
264,England & Wales,England & Wales (ONS),winter 2020-2021,2,0-24,25,9096369.0,0.00274834936885256
265,England & Wales,England & Wales (ONS),winter 2020-2021,2,25-44,464,7834150.5,0.0592278639528306
266,England & Wales,England & Wales (ONS),winter 2020-2021,2,45-64,4441,7545864.0,0.588534328209467
267,England & Wales,England & Wales (ONS),winter 2020-2021,2,65-74,6432,2874599.0,2.23752947802459
268,England & Wales,England & Wales (ONS),winter 2020-2021,2,75-84,11466,1698789.0,6.74951391844426
269,England & Wales,England & Wales (ONS),winter 2020-2021,2,85+,12415,564652.0,21.9869937589878
270,England & Wales,England & Wales (ONS),winter 2021-2022,0,0-24,40,17675146.0,0.00226306475771119
271,England & Wales,England & Wales (ONS),winter 2021-2022,0,25-44,293,15717037.5,0.0186421900437662
272,England & Wales,England & Wales (ONS),winter 2021-2022,0,45-64,1657,15335382.5,0.108050777344484
273,England & Wales,England & Wales (ONS),winter 2021-2022,0,65-74,2059,5951393.5,0.345969393554636
274,England & Wales,England & Wales (ONS),winter 2021-2022,0,75-84,3701,3890055.0,0.95140043007104
275,England & Wales,England & Wales (ONS),winter 2021-2022,0,85+,5119,1530406.5,3.34486294981105
276,England & Wales,England & Wales (ONS),winter 2021-2022,1,0-24,17,8590694.5,0.00197888540909003
277,England & Wales,England & Wales (ONS),winter 2021-2022,1,25-44,118,7824933.5,0.0150800003603864
278,England & Wales,England & Wales (ONS),winter 2021-2022,1,45-64,623,7783128.0,0.0800449382304904
279,England & Wales,England & Wales (ONS),winter 2021-2022,1,65-74,800,3090429.5,0.258863695159524
280,England & Wales,England & Wales (ONS),winter 2021-2022,1,75-84,1541,2113177.5,0.729233583075724
281,England & Wales,England & Wales (ONS),winter 2021-2022,1,85+,2558,950553.0,2.69106509579161
282,England & Wales,England & Wales (ONS),winter 2021-2022,2,0-24,23,9084451.5,0.00253179842503425
283,England & Wales,England & Wales (ONS),winter 2021-2022,2,25-44,175,7892104.0,0.0221740615683726
284,England & Wales,England & Wales (ONS),winter 2021-2022,2,45-64,1034,7552254.5,0.136912758964889
285,England & Wales,England & Wales (ONS),winter 2021-2022,2,65-74,1259,2860964.0,0.440061461800987
286,England & Wales,England & Wales (ONS),winter 2021-2022,2,75-84,2160,1776877.5,1.21561559533508
287,England & Wales,England & Wales (ONS),winter 2021-2022,2,85+,2561,579853.5,4.41663282191105
288,France,France (CepiDC),autumn 2020,0,0-24,8,20035440.75,0.000399292438824936
289,France,France (CepiDC),autumn 2020,0,25-44,99,16162045.75,0.00612546218042973
290,France,France (CepiDC),autumn 2020,0,45-64,1230,17451075.5,0.0704827619363632
291,France,France (CepiDC),autumn 2020,0,65-74,2971,7529315.0,0.394591008611009
292,France,France (CepiDC),autumn 2020,0,75-84,6775,4127767.25,1.64132316326702
293,France,France (CepiDC),autumn 2020,0,85+,15661,2277683.25,6.87584632323217
